# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinning face;face|grin|grinning face
🕵️;detective;detective|sleuth|spy
	🕵🏻;detective: light skin tone;detective|detective: light skin tone|light skin tone|sleuth|spy
	🕵🏼;detective: medium-light skin tone;detective|detective: medium-light skin tone|medium-light skin tone|sleuth|spy
	🕵🏽;detective: medium skin tone;detective|detective: medium skin tone|medium skin tone|sleuth|spy
	🕵🏾;detective: medium-dark skin tone;detective|detective: medium-dark skin tone|medium-dark skin tone|sleuth|spy
	🕵🏿;detective: dark skin tone;dark skin tone|detective|detective: dark skin tone|sleuth|spy
🕵️‍♂️;man detective;detective|man|sleuth|spy
	🕵🏻‍♂️;man detective: light skin tone;detective|light skin tone|man|man detective: light skin tone|sleuth|spy
	🕵🏼‍♂️;man detective: medium-light skin tone;detective|man|man detective: medium-light skin tone|medium-light skin tone|sleuth|spy
	🕵🏽‍♂️;man detective: medium skin tone;detective|man|man detective: medium skin tone|medium skin tone|sleuth|spy
	🕵🏾‍♂️;man detective: medium-dark skin tone;detective|man|man detective: medium-dark skin tone|medium-dark skin tone|sleuth|spy
	🕵🏿‍♂️;man detective: dark skin tone;dark skin tone|detective|man|man detective: dark skin tone|sleuth|spy
🕵️‍♀️;woman detective;detective|sleuth|spy|woman
	🕵🏻‍♀️;woman detective: light skin tone;detective|light skin tone|sleuth|spy|woman|woman detective: light skin tone
	🕵🏼‍♀️;woman detective: medium-light skin tone;detective|medium-light skin tone|sleuth|spy|woman|woman detective: medium-light skin tone
	🕵🏽‍♀️;woman detective: medium skin tone;detective|medium skin tone|sleuth|spy|woman|woman detective: medium skin tone
	🕵🏾‍♀️;woman detective: medium-dark skin tone;detective|medium-dark skin tone|sleuth|spy|woman|woman detective: medium-dark skin tone
	🕵🏿‍♀️;woman detective: dark skin tone;dark skin tone|detective|sleuth|spy|woman|woman detective: dark skin tone
💂;guard;guard
	💂🏻;guard: light skin tone;guard|guard: light skin tone|light skin tone
	💂🏼;guard: medium-light skin tone;guard|guard: medium-light skin tone|medium-light skin tone
	💂🏽;guard: medium skin tone;guard|guard: medium skin tone|medium skin tone
	💂🏾;guard: medium-dark skin tone;guard|guard: medium-dark skin tone|medium-dark skin tone
	💂🏿;guard: dark skin tone;dark skin tone|guard|guard: dark skin tone
💂‍♂️;man guard;guard|man
	💂🏻‍♂️;man guard: light skin tone;guard|light skin tone|man|man guard: light skin tone
	💂🏼‍♂️;man guard: medium-light skin tone;guard|man|man guard: medium-light skin tone|medium-light skin tone
	💂🏽‍♂️;man guard: medium skin tone;guard|man|man guard: medium skin tone|medium skin tone
	💂🏾‍♂️;man guard: medium-dark skin tone;guard|man|man guard: medium-dark skin tone|medium-dark skin tone
	💂🏿‍♂️;man guard: dark skin tone;dark skin tone|guard|man|man guard: dark skin tone
💂‍♀️;woman guard;guard|woman
	💂🏻‍♀️;woman guard: light skin tone;guard|light skin tone|woman|woman guard: light skin tone
	💂🏼‍♀️;woman guard: medium-light skin tone;guard|medium-light skin tone|woman|woman guard: medium-light skin tone
	💂🏽‍♀️;woman guard: medium skin tone;guard|medium skin tone|woman|woman guard: medium skin tone
	💂🏾‍♀️;woman guard: medium-dark skin tone;guard|medium-dark skin tone|woman|woman guard: medium-dark skin tone
	💂🏿‍♀️;woman guard: dark skin tone;dark skin tone|guard|woman|woman guard: dark skin tone
🥷;ninja;fighter|hidden|ninja|stealth
	🥷🏻;ninja: light skin tone;fighter|hidden|light skin tone|ninja|ninja: light skin tone|stealth
	🥷🏼;ninja: medium-light skin tone;fighter|hidden|medium-light skin tone|ninja|ninja: medium-light skin tone|stealth
	🥷🏽;ninja: medium skin tone;fighter|hidden|medium skin tone|ninja|ninja: medium skin tone|stealth
	🥷🏾;ninja: medium-dark skin tone;fighter|hidden|medium-dark skin tone|ninja|ninja: medium-dark skin tone|stealth
	🥷🏿;ninja: dark skin tone;dark skin tone|fighter|hidden|ninja|ninja: dark skin tone|stealth
👷;construction worker;construction|hat|worker
	👷🏻;construction worker: light skin tone;construction|construction worker: light skin tone|hat|light skin tone|worker
	👷🏼;construction worker: medium-light skin tone;construction|construction worker: medium-light skin tone|hat|medium-light skin tone|worker
	👷🏽;construction worker: medium skin tone;construction|construction worker: medium skin tone|hat|medium skin tone|worker
	👷🏾;construction worker: medium-dark skin tone;construction|construction worker: medium-dark skin tone|hat|medium-dark skin tone|worker
	👷🏿;construction worker: dark skin tone;construction|construction worker: dark skin tone|dark skin tone|hat|worker
👷‍♂️;man construction worker;construction|man|worker
	👷🏻‍♂️;man construction worker: light skin tone;construction|light skin tone|man|man construction worker: light skin tone|worker
	👷🏼‍♂️;man construction worker: medium-light skin tone;construction|man|man construction worker: medium-light skin tone|medium-light skin tone|worker
	👷🏽‍♂️;man construction worker: medium skin tone;construction|man|man construction worker: medium skin tone|medium skin tone|worker
	👷🏾‍♂️;man construction worker: medium-dark skin tone;construction|man|man construction worker: medium-dark skin tone|medium-dark skin tone|worker
	👷🏿‍♂️;man construction worker: dark skin tone;construction|dark skin tone|man|man construction worker: dark skin tone|worker
👷‍♀️;woman construction worker;construction|woman|worker
	👷🏻‍♀️;woman construction worker: light skin tone;construction|light skin tone|woman|woman construction worker: light skin tone|worker
	👷🏼‍♀️;woman construction worker: medium-light skin tone;construction|medium-light skin tone|woman|woman construction worker: medium-light skin tone|worker
	👷🏽‍♀️;woman construction worker: medium skin tone;construction|medium skin tone|woman|woman construction worker: medium skin tone|worker
	👷🏾‍♀️;woman construction worker: medium-dark skin tone;construction|medium-dark skin tone|woman|woman construction worker: medium-dark skin tone|worker
	👷🏿‍♀️;woman construction worker: dark skin tone;construction|dark skin tone|woman|woman construction worker: dark skin tone|worker
🫅;person with crown;
	🫅🏻;person with crown: light skin tone;light skin tone|monarch|noble|person with crown|person with crown: light skin tone|regal|royalty
	🫅🏼;person with crown: medium-light skin tone;medium-light skin tone|monarch|noble|person with crown|person with crown: medium-light skin tone|regal|royalty
	🫅🏽;person with crown: medium skin tone;medium skin tone|monarch|noble|person with crown|person with crown: medium skin tone|regal|royalty
	🫅🏾;person with crown: medium-dark skin tone;medium-dark skin tone|monarch|noble|person with crown|person with crown: medium-dark skin tone|regal|royalty
	🫅🏿;person with crown: dark skin tone;dark skin tone|monarch|noble|person with crown|person with crown: dark skin tone|regal|royalty
🤴;prince;prince
	🤴🏻;prince: light skin tone;light skin tone|prince|prince: light skin tone
	🤴🏼;prince: medium-light skin tone;medium-light skin tone|prince|prince: medium-light skin tone
	🤴🏽;prince: medium skin tone;medium skin tone|prince|prince: medium skin tone
	🤴🏾;prince: medium-dark skin tone;medium-dark skin tone|prince|prince: medium-dark skin tone
	🤴🏿;prince: dark skin tone;dark skin tone|prince|prince: dark skin tone
👸;princess;fairy tale|fantasy|princess
	👸🏻;princess: light skin tone;fairy tale|fantasy|light skin tone|princess|princess: light skin tone
	👸🏼;princess: medium-light skin tone;fairy tale|fantasy|medium-light skin tone|princess|princess: medium-light skin tone
	👸🏽;princess: medium skin tone;fairy tale|fantasy|medium skin tone|princess|princess: medium skin tone
	👸🏾;princess: medium-dark skin tone;fairy tale|fantasy|medium-dark skin tone|princess|princess: medium-dark skin tone
	👸🏿;princess: dark skin tone;dark skin tone|fairy tale|fantasy|princess|princess: dark skin tone
👳;person wearing turban;person wearing turban|turban
	👳🏻;person wearing turban: light skin tone;light skin tone|person wearing turban|person wearing turban: light skin tone|turban
	👳🏼;person wearing turban: medium-light skin tone;medium-light skin tone|person wearing turban|person wearing turban: medium-light skin tone|turban
	👳🏽;person wearing turban: medium skin tone;medium skin tone|person wearing turban|person wearing turban: medium skin tone|turban
	👳🏾;person wearing turban: medium-dark skin tone;medium-dark skin tone|person wearing turban|person wearing turban: medium-dark skin tone|turban
	👳🏿;person wearing turban: dark skin tone;dark skin tone|person wearing turban|person wearing turban: dark skin tone|turban
👳‍♂️;man wearing turban;man|man wearing turban|turban
	👳🏻‍♂️;man wearing turban: light skin tone;light skin tone|man|man wearing turban|man wearing turban: light skin tone|turban
	👳🏼‍♂️;man wearing turban: medium-light skin tone;man|man wearing turban|man wearing turban: medium-light skin tone|medium-light skin tone|turban
	👳🏽‍♂️;man wearing turban: medium skin tone;man|man wearing turban|man wearing turban: medium skin tone|medium skin tone|turban
	👳🏾‍♂️;man wearing turban: medium-dark skin tone;man|man wearing turban|man wearing turban: medium-dark skin tone|medium-dark skin tone|turban
	👳🏿‍♂️;man wearing turban: dark skin tone;dark skin tone|man|man wearing turban|man wearing turban: dark skin tone|turban
👳‍♀️;woman wearing turban;turban|woman|woman wearing turban
	👳🏻‍♀️;woman wearing turban: light skin tone;light skin tone|turban|woman|woman wearing turban|woman wearing turban: light skin tone
	👳🏼‍♀️;woman wearing turban: medium-light skin tone;medium-light skin tone|turban|woman|woman wearing turban|woman wearing turban: medium-light skin tone
	👳🏽‍♀️;woman wearing turban: medium skin tone;medium skin tone|turban|woman|woman wearing turban|woman wearing turban: medium skin tone
	👳🏾‍♀️;woman wearing turban: medium-dark skin tone;medium-dark skin tone|turban|woman|woman wearing turban|woman wearing turban: medium-dark skin tone
	👳🏿‍♀️;woman wearing turban: dark skin tone;dark skin tone|turban|woman|woman wearing turban|woman wearing turban: dark skin tone
👲;person with skullcap;cap|gua pi mao|hat|person|person with skullcap|skullcap
	👲🏻;person with skullcap: light skin tone;cap|gua pi mao|hat|light skin tone|person|person with skullcap|person with skullcap: light skin tone|skullcap
	👲🏼;person with skullcap: medium-light skin tone;cap|gua pi mao|hat|medium-light skin tone|person|person with skullcap|person with skullcap: medium-light skin tone|skullcap
	👲🏽;person with skullcap: medium skin tone;cap|gua pi mao|hat|medium skin tone|person|person with skullcap|person with skullcap: medium skin tone|skullcap
	👲🏾;person with skullcap: medium-dark skin tone;cap|gua pi mao|hat|medium-dark skin tone|person|person with skullcap|person with skullcap: medium-dark skin tone|skullcap
	👲🏿;person with skullcap: dark skin tone;cap|dark skin tone|gua pi mao|hat|person|person with skullcap|person with skullcap: dark skin tone|skullcap
🧕;woman with headscarf;headscarf|hijab|mantilla|tichel|woman with headscarf
	🧕🏻;woman with headscarf: light skin tone;headscarf|hijab|light skin tone|mantilla|tichel|woman with headscarf|woman with headscarf: light skin tone
	🧕🏼;woman with headscarf: medium-light skin tone;headscarf|hijab|mantilla|medium-light skin tone|tichel|woman with headscarf|woman with headscarf: medium-light skin tone
	🧕🏽;woman with headscarf: medium skin tone;headscarf|hijab|mantilla|medium skin tone|tichel|woman with headscarf|woman with headscarf: medium skin tone
	🧕🏾;woman with headscarf: medium-dark skin tone;headscarf|hijab|mantilla|medium-dark skin tone|tichel|woman with headscarf|woman with headscarf: medium-dark skin tone
	🧕🏿;woman with headscarf: dark skin tone;dark skin tone|headscarf|hijab|mantilla|tichel|woman with headscarf|woman with headscarf: dark skin tone
🤵;person in tuxedo;groom|person|person in tuxedo|tuxedo
	🤵🏻;person in tuxedo: light skin tone;groom|light skin tone|person|person in tuxedo|person in tuxedo: light skin tone|tuxedo
	🤵🏼;person in tuxedo: medium-light skin tone;groom|medium-light skin tone|person|person in tuxedo|person in tuxedo: medium-light skin tone|tuxedo
	🤵🏽;person in tuxedo: medium skin tone;groom|medium skin tone|person|person in tuxedo|person in tuxedo: medium skin tone|tuxedo
	🤵🏾;person in tuxedo: medium-dark skin tone;groom|medium-dark skin tone|person|person in tuxedo|person in tuxedo: medium-dark skin tone|tuxedo
	🤵🏿;person in tuxedo: dark skin tone;dark skin tone|groom|person|person in tuxedo|person in tuxedo: dark skin tone|tuxedo
🤵‍♂️;man in tuxedo;
	🤵🏻‍♂️;man in tuxedo: light skin tone;light skin tone|man|man in tuxedo|man in tuxedo: light skin tone|tuxedo
	🤵🏼‍♂️;man in tuxedo: medium-light skin tone;man|man in tuxedo|man in tuxedo: medium-light skin tone|medium-light skin tone|tuxedo
	🤵🏽‍♂️;man in tuxedo: medium skin tone;man|man in tuxedo|man in tuxedo: medium skin tone|medium skin tone|tuxedo
	🤵🏾‍♂️;man in tuxedo: medium-dark skin tone;man|man in tuxedo|man in tuxedo: medium-dark skin tone|medium-dark skin tone|tuxedo
