# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinsendes Gesicht;Gesicht|grinsendes Gesicht|lol|lustig
	🙋🏽‍♂️;Mann mit erhobenem Arm: mittlere Hautfarbe;Geste|Mann|Mann mit erhobenem Arm|Mann mit erhobenem Arm: mittlere Hautfarbe|mittlere Hautfarbe|Siegerpose
	🙋🏾‍♂️;Mann mit erhobenem Arm: mitteldunkle Hautfarbe;Geste|Mann|Mann mit erhobenem Arm|Mann mit erhobenem Arm: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|Siegerpose
	🙋🏿‍♂️;Mann mit erhobenem Arm: dunkle Hautfarbe;dunkle Hautfarbe|Geste|Mann|Mann mit erhobenem Arm|Mann mit erhobenem Arm: dunkle Hautfarbe|Siegerpose
🙋‍♀️;Frau mit erhobenem Arm;Frau|Frau mit erhobenem Arm|Geste|Siegerpose
	🙋🏻‍♀️;Frau mit erhobenem Arm: helle Hautfarbe;Frau|Frau mit erhobenem Arm|Frau mit erhobenem Arm: helle Hautfarbe|Geste|helle Hautfarbe|Siegerpose
	🙋🏼‍♀️;Frau mit erhobenem Arm: mittelhelle Hautfarbe;Frau|Frau mit erhobenem Arm|Frau mit erhobenem Arm: mittelhelle Hautfarbe|Geste|mittelhelle Hautfarbe|Siegerpose
	🙋🏽‍♀️;Frau mit erhobenem Arm: mittlere Hautfarbe;Frau|Frau mit erhobenem Arm|Frau mit erhobenem Arm: mittlere Hautfarbe|Geste|mittlere Hautfarbe|Siegerpose
	🙋🏾‍♀️;Frau mit erhobenem Arm: mitteldunkle Hautfarbe;Frau|Frau mit erhobenem Arm|Frau mit erhobenem Arm: mitteldunkle Hautfarbe|Geste|mitteldunkle Hautfarbe|Siegerpose
	🙋🏿‍♀️;Frau mit erhobenem Arm: dunkle Hautfarbe;dunkle Hautfarbe|Frau|Frau mit erhobenem Arm|Frau mit erhobenem Arm: dunkle Hautfarbe|Geste|Siegerpose
🧏;gehörlose Person;Barrierefreiheit|gehörlos|gehörlose Person|hören|Ohr|taub
	🧏🏻;gehörlose Person: helle Hautfarbe;Barrierefreiheit|gehörlos|gehörlose Person|gehörlose Person: helle Hautfarbe|helle Hautfarbe|hören|Ohr|taub
	🧏🏼;gehörlose Person: mittelhelle Hautfarbe;Barrierefreiheit|gehörlos|gehörlose Person|gehörlose Person: mittelhelle Hautfarbe|hören|mittelhelle Hautfarbe|Ohr|taub
	🧏🏽;gehörlose Person: mittlere Hautfarbe;Barrierefreiheit|gehörlos|gehörlose Person|gehörlose Person: mittlere Hautfarbe|hören|mittlere Hautfarbe|Ohr|taub
	🧏🏾;gehörlose Person: mitteldunkle Hautfarbe;Barrierefreiheit|gehörlos|gehörlose Person|gehörlose Person: mitteldunkle Hautfarbe|hören|mitteldunkle Hautfarbe|Ohr|taub
	🧏🏿;gehörlose Person: dunkle Hautfarbe;Barrierefreiheit|dunkle Hautfarbe|gehörlos|gehörlose Person|gehörlose Person: dunkle Hautfarbe|hören|Ohr|taub
🧏‍♂️;gehörloser Mann;gehörlos|gehörloser Mann|Mann|taub
	🧏🏻‍♂️;gehörloser Mann: helle Hautfarbe;gehörlos|gehörloser Mann|gehörloser Mann: helle Hautfarbe|helle Hautfarbe|Mann|taub
	🧏🏼‍♂️;gehörloser Mann: mittelhelle Hautfarbe;gehörlos|gehörloser Mann|gehörloser Mann: mittelhelle Hautfarbe|Mann|mittelhelle Hautfarbe|taub
	🧏🏽‍♂️;gehörloser Mann: mittlere Hautfarbe;gehörlos|gehörloser Mann|gehörloser Mann: mittlere Hautfarbe|Mann|mittlere Hautfarbe|taub
	🧏🏾‍♂️;gehörloser Mann: mitteldunkle Hautfarbe;gehörlos|gehörloser Mann|gehörloser Mann: mitteldunkle Hautfarbe|Mann|mitteldunkle Hautfarbe|taub
	🧏🏿‍♂️;gehörloser Mann: dunkle Hautfarbe;dunkle Hautfarbe|gehörlos|gehörloser Mann|gehörloser Mann: dunkle Hautfarbe|Mann|taub
🧏‍♀️;gehörlose Frau;Frau|gehörlos|gehörlose Frau|taub
	🧏🏻‍♀️;gehörlose Frau: helle Hautfarbe;Frau|gehörlos|gehörlose Frau|gehörlose Frau: helle Hautfarbe|helle Hautfarbe|taub
	🧏🏼‍♀️;gehörlose Frau: mittelhelle Hautfarbe;Frau|gehörlos|gehörlose Frau|gehörlose Frau: mittelhelle Hautfarbe|mittelhelle Hautfarbe|taub
	🧏🏽‍♀️;gehörlose Frau: mittlere Hautfarbe;Frau|gehörlos|gehörlose Frau|gehörlose Frau: mittlere Hautfarbe|mittlere Hautfarbe|taub
	🧏🏾‍♀️;gehörlose Frau: mitteldunkle Hautfarbe;Frau|gehörlos|gehörlose Frau|gehörlose Frau: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|taub
	🧏🏿‍♀️;gehörlose Frau: dunkle Hautfarbe;dunkle Hautfarbe|Frau|gehörlos|gehörlose Frau|gehörlose Frau: dunkle Hautfarbe|taub
🙇;sich verbeugende Person;Entschuldigung|Geste|sich verbeugende Person|verbeugen
	🙇🏻;sich verbeugende Person: helle Hautfarbe;Entschuldigung|Geste|helle Hautfarbe|sich verbeugende Person|sich verbeugende Person: helle Hautfarbe|verbeugen
	🙇🏼;sich verbeugende Person: mittelhelle Hautfarbe;Entschuldigung|Geste|mittelhelle Hautfarbe|sich verbeugende Person|sich verbeugende Person: mittelhelle Hautfarbe|verbeugen
	🙇🏽;sich verbeugende Person: mittlere Hautfarbe;Entschuldigung|Geste|mittlere Hautfarbe|sich verbeugende Person|sich verbeugende Person: mittlere Hautfarbe|verbeugen
	🙇🏾;sich verbeugende Person: mitteldunkle Hautfarbe;Entschuldigung|Geste|mitteldunkle Hautfarbe|sich verbeugende Person|sich verbeugende Person: mitteldunkle Hautfarbe|verbeugen
	🙇🏿;sich verbeugende Person: dunkle Hautfarbe;dunkle Hautfarbe|Entschuldigung|Geste|sich verbeugende Person|sich verbeugende Person: dunkle Hautfarbe|verbeugen
🙇‍♂️;sich verbeugender Mann;Demut|Mann|sich verbeugender Mann|verbeugen
	🙇🏻‍♂️;sich verbeugender Mann: helle Hautfarbe;Demut|helle Hautfarbe|Mann|sich verbeugender Mann|sich verbeugender Mann: helle Hautfarbe|verbeugen
	🙇🏼‍♂️;sich verbeugender Mann: mittelhelle Hautfarbe;Demut|Mann|mittelhelle Hautfarbe|sich verbeugender Mann|sich verbeugender Mann: mittelhelle Hautfarbe|verbeugen
	🙇🏽‍♂️;sich verbeugender Mann: mittlere Hautfarbe;Demut|Mann|mittlere Hautfarbe|sich verbeugender Mann|sich verbeugender Mann: mittlere Hautfarbe|verbeugen
	🙇🏾‍♂️;sich verbeugender Mann: mitteldunkle Hautfarbe;Demut|Mann|mitteldunkle Hautfarbe|sich verbeugender Mann|sich verbeugender Mann: mitteldunkle Hautfarbe|verbeugen
	🙇🏿‍♂️;sich verbeugender Mann: dunkle Hautfarbe;Demut|dunkle Hautfarbe|Mann|sich verbeugender Mann|sich verbeugender Mann: dunkle Hautfarbe|verbeugen
🙇‍♀️;sich verbeugende Frau;Demut|Frau|sich verbeugende Frau|verbeugen
	🙇🏻‍♀️;sich verbeugende Frau: helle Hautfarbe;Demut|Frau|helle Hautfarbe|sich verbeugende Frau|sich verbeugende Frau: helle Hautfarbe|verbeugen
	🙇🏼‍♀️;sich verbeugende Frau: mittelhelle Hautfarbe;Demut|Frau|mittelhelle Hautfarbe|sich verbeugende Frau|sich verbeugende Frau: mittelhelle Hautfarbe|verbeugen
	🙇🏽‍♀️;sich verbeugende Frau: mittlere Hautfarbe;Demut|Frau|mittlere Hautfarbe|sich verbeugende Frau|sich verbeugende Frau: mittlere Hautfarbe|verbeugen
	🙇🏾‍♀️;sich verbeugende Frau: mitteldunkle Hautfarbe;Demut|Frau|mitteldunkle Hautfarbe|sich verbeugende Frau|sich verbeugende Frau: mitteldunkle Hautfarbe|verbeugen
	🙇🏿‍♀️;sich verbeugende Frau: dunkle Hautfarbe;Demut|dunkle Hautfarbe|Frau|sich verbeugende Frau|sich verbeugende Frau: dunkle Hautfarbe|verbeugen
🤦;sich an den Kopf fassende Person;frustriert|genervt|Gesicht|sich an den Kopf fassende Person
	🤦🏻;sich an den Kopf fassende Person: helle Hautfarbe;frustriert|genervt|Gesicht|helle Hautfarbe|sich an den Kopf fassende Person|sich an den Kopf fassende Person: helle Hautfarbe
	🤦🏼;sich an den Kopf fassende Person: mittelhelle Hautfarbe;frustriert|genervt|Gesicht|mittelhelle Hautfarbe|sich an den Kopf fassende Person|sich an den Kopf fassende Person: mittelhelle Hautfarbe
	🤦🏽;sich an den Kopf fassende Person: mittlere Hautfarbe;frustriert|genervt|Gesicht|mittlere Hautfarbe|sich an den Kopf fassende Person|sich an den Kopf fassende Person: mittlere Hautfarbe
	🤦🏾;sich an den Kopf fassende Person: mitteldunkle Hautfarbe;frustriert|genervt|Gesicht|mitteldunkle Hautfarbe|sich an den Kopf fassende Person|sich an den Kopf fassende Person: mitteldunkle Hautfarbe
	🤦🏿;sich an den Kopf fassende Person: dunkle Hautfarbe;dunkle Hautfarbe|frustriert|genervt|Gesicht|sich an den Kopf fassende Person|sich an den Kopf fassende Person: dunkle Hautfarbe
🤦‍♂️;sich an den Kopf fassender Mann;frustriert|genervt|Mann|sich an den Kopf fassender Mann
	🤦🏻‍♂️;sich an den Kopf fassender Mann: helle Hautfarbe;frustriert|genervt|helle Hautfarbe|Mann|sich an den Kopf fassender Mann|sich an den Kopf fassender Mann: helle Hautfarbe
	🤦🏼‍♂️;sich an den Kopf fassender Mann: mittelhelle Hautfarbe;frustriert|genervt|Mann|mittelhelle Hautfarbe|sich an den Kopf fassender Mann|sich an den Kopf fassender Mann: mittelhelle Hautfarbe
	🤦🏽‍♂️;sich an den Kopf fassender Mann: mittlere Hautfarbe;frustriert|genervt|Mann|mittlere Hautfarbe|sich an den Kopf fassender Mann|sich an den Kopf fassender Mann: mittlere Hautfarbe
	🤦🏾‍♂️;sich an den Kopf fassender Mann: mitteldunkle Hautfarbe;frustriert|genervt|Mann|mitteldunkle Hautfarbe|sich an den Kopf fassender Mann|sich an den Kopf fassender Mann: mitteldunkle Hautfarbe
	🤦🏿‍♂️;sich an den Kopf fassender Mann: dunkle Hautfarbe;dunkle Hautfarbe|frustriert|genervt|Mann|sich an den Kopf fassender Mann|sich an den Kopf fassender Mann: dunkle Hautfarbe
🤦‍♀️;sich an den Kopf fassende Frau;Frau|frustriert|genervt|sich an den Kopf fassende Frau
	🤦🏻‍♀️;sich an den Kopf fassende Frau: helle Hautfarbe;Frau|frustriert|genervt|helle Hautfarbe|sich an den Kopf fassende Frau|sich an den Kopf fassende Frau: helle Hautfarbe
	🤦🏼‍♀️;sich an den Kopf fassende Frau: mittelhelle Hautfarbe;Frau|frustriert|genervt|mittelhelle Hautfarbe|sich an den Kopf fassende Frau|sich an den Kopf fassende Frau: mittelhelle Hautfarbe
	🤦🏽‍♀️;sich an den Kopf fassende Frau: mittlere Hautfarbe;Frau|frustriert|genervt|mittlere Hautfarbe|sich an den Kopf fassende Frau|sich an den Kopf fassende Frau: mittlere Hautfarbe
	🤦🏾‍♀️;sich an den Kopf fassende Frau: mitteldunkle Hautfarbe;Frau|frustriert|genervt|mitteldunkle Hautfarbe|sich an den Kopf fassende Frau|sich an den Kopf fassende Frau: mitteldunkle Hautfarbe
	🤦🏿‍♀️;sich an den Kopf fassende Frau: dunkle Hautfarbe;dunkle Hautfarbe|Frau|frustriert|genervt|sich an den Kopf fassende Frau|sich an den Kopf fassende Frau: dunkle Hautfarbe
🤷;schulterzuckende Person;egal|gleichgültig|keine Ahnung|schulterzuckende Person|Zweifel
	🤷🏻;schulterzuckende Person: helle Hautfarbe;egal|gleichgültig|helle Hautfarbe|keine Ahnung|schulterzuckende Person|schulterzuckende Person: helle Hautfarbe|Zweifel
	🤷🏼;schulterzuckende Person: mittelhelle Hautfarbe;egal|gleichgültig|keine Ahnung|mittelhelle Hautfarbe|schulterzuckende Person|schulterzuckende Person: mittelhelle Hautfarbe|Zweifel
	🤷🏽;schulterzuckende Person: mittlere Hautfarbe;egal|gleichgültig|keine Ahnung|mittlere Hautfarbe|schulterzuckende Person|schulterzuckende Person: mittlere Hautfarbe|Zweifel
	🤷🏾;schulterzuckende Person: mitteldunkle Hautfarbe;egal|gleichgültig|keine Ahnung|mitteldunkle Hautfarbe|schulterzuckende Person|schulterzuckende Person: mitteldunkle Hautfarbe|Zweifel
	🤷🏿;schulterzuckende Person: dunkle Hautfarbe;dunkle Hautfarbe|egal|gleichgültig|keine Ahnung|schulterzuckende Person|schulterzuckende Person: dunkle Hautfarbe|Zweifel
🤷‍♂️;schulterzuckender Mann;gleichgültig|keine Ahnung|Mann|schulterzuckender Mann|Zweifel
	🤷🏻‍♂️;schulterzuckender Mann: helle Hautfarbe;gleichgültig|helle Hautfarbe|keine Ahnung|Mann|schulterzuckender Mann|schulterzuckender Mann: helle Hautfarbe|Zweifel
	🤷🏼‍♂️;schulterzuckender Mann: mittelhelle Hautfarbe;gleichgültig|keine Ahnung|Mann|mittelhelle Hautfarbe|schulterzuckender Mann|schulterzuckender Mann: mittelhelle Hautfarbe|Zweifel
	🤷🏽‍♂️;schulterzuckender Mann: mittlere Hautfarbe;gleichgültig|keine Ahnung|Mann|mittlere Hautfarbe|schulterzuckender Mann|schulterzuckender Mann: mittlere Hautfarbe|Zweifel
	🤷🏾‍♂️;schulterzuckender Mann: mitteldunkle Hautfarbe;gleichgültig|keine Ahnung|Mann|mitteldunkle Hautfarbe|schulterzuckender Mann|schulterzuckender Mann: mitteldunkle Hautfarbe|Zweifel
	🤷🏿‍♂️;schulterzuckender Mann: dunkle Hautfarbe;dunkle Hautfarbe|gleichgültig|keine Ahnung|Mann|schulterzuckender Mann|schulterzuckender Mann: dunkle Hautfarbe|Zweifel
🤷‍♀️;schulterzuckende Frau;Frau|gleichgültig|keine Ahnung|schulterzuckende Frau|Zweifel
	🤷🏻‍♀️;schulterzuckende Frau: helle Hautfarbe;Frau|gleichgültig|helle Hautfarbe|keine Ahnung|schulterzuckende Frau|schulterzuckende Frau: helle Hautfarbe|Zweifel
	🤷🏼‍♀️;schulterzuckende Frau: mittelhelle Hautfarbe;Frau|gleichgültig|keine Ahnung|mittelhelle Hautfarbe|schulterzuckende Frau|schulterzuckende Frau: mittelhelle Hautfarbe|Zweifel
	🤷🏽‍♀️;schulterzuckende Frau: mittlere Hautfarbe;Frau|gleichgültig|keine Ahnung|mittlere Hautfarbe|schulterzuckende Frau|schulterzuckende Frau: mittlere Hautfarbe|Zweifel
	🤷🏾‍♀️;schulterzuckende Frau: mitteldunkle Hautfarbe;Frau|gleichgültig|keine Ahnung|mitteldunkle Hautfarbe|schulterzuckende Frau|schulterzuckende Frau: mitteldunkle Hautfarbe|Zweifel
	🤷🏿‍♀️;schulterzuckende Frau: dunkle Hautfarbe;dunkle Hautfarbe|Frau|gleichgültig|keine Ahnung|schulterzuckende Frau|schulterzuckende Frau: dunkle Hautfarbe|Zweifel
🧑‍⚕️;Arzt/Ärztin;Arzt/Ärztin|Arztkittel|Doktor(in)
	🧑🏻‍⚕️;Arzt/Ärztin: helle Hautfarbe;Arzt/Ärztin|Arzt/Ärztin: helle Hautfarbe|Arztkittel|Doktor(in)|helle Hautfarbe
	🧑🏼‍⚕️;Arzt/Ärztin: mittelhelle Hautfarbe;Arzt/Ärztin|Arzt/Ärztin: mittelhelle Hautfarbe|Arztkittel|Doktor(in)|mittelhelle Hautfarbe
	🧑🏽‍⚕️;Arzt/Ärztin: mittlere Hautfarbe;Arzt/Ärztin|Arzt/Ärztin: mittlere Hautfarbe|Arztkittel|Doktor(in)|mittlere Hautfarbe
	🧑🏾‍⚕️;Arzt/Ärztin: mitteldunkle Hautfarbe;Arzt/Ärztin|Arzt/Ärztin: mitteldunkle Hautfarbe|Arztkittel|Doktor(in)|mitteldunkle Hautfarbe
	🧑🏿‍⚕️;Arzt/Ärztin: dunkle Hautfarbe;Arzt/Ärztin|Arzt/Ärztin: dunkle Hautfarbe|Arztkittel|Doktor(in)|dunkle Hautfarbe
👨‍⚕️;Arzt;Arzt|Arztkittel|Doktor
	👨🏻‍⚕️;Arzt: helle Hautfarbe;Arzt|Arzt: helle Hautfarbe|Arztkittel|Doktor|helle Hautfarbe
	👨🏼‍⚕️;Arzt: mittelhelle Hautfarbe;Arzt|Arzt: mittelhelle Hautfarbe|Arztkittel|Doktor|mittelhelle Hautfarbe
	👨🏽‍⚕️;Arzt: mittlere Hautfarbe;Arzt|Arzt: mittlere Hautfarbe|Arztkittel|Doktor|mittlere Hautfarbe
	👨🏾‍⚕️;Arzt: mitteldunkle Hautfarbe;Arzt|Arzt: mitteldunkle Hautfarbe|Arztkittel|Doktor|mitteldunkle Hautfarbe
	👨🏿‍⚕️;Arzt: dunkle Hautfarbe;Arzt|Arzt: dunkle Hautfarbe|Arztkittel|Doktor|dunkle Hautfarbe
👩‍⚕️;Ärztin;Ärztin|Arztkittel
	👩🏻‍⚕️;Ärztin: helle Hautfarbe;Ärztin|Ärztin: helle Hautfarbe|Arztkittel|helle Hautfarbe
	👩🏼‍⚕️;Ärztin: mittelhelle Hautfarbe;Ärztin|Ärztin: mittelhelle Hautfarbe|Arztkittel|mittelhelle Hautfarbe
	👩🏽‍⚕️;Ärztin: mittlere Hautfarbe;Ärztin|Ärztin: mittlere Hautfarbe|Arztkittel|mittlere Hautfarbe
	👩🏾‍⚕️;Ärztin: mitteldunkle Hautfarbe;Ärztin|Ärztin: mitteldunkle Hautfarbe|Arztkittel|mitteldunkle Hautfarbe
	👩🏿‍⚕️;Ärztin: dunkle Hautfarbe;Ärztin|Ärztin: dunkle Hautfarbe|Arztkittel|dunkle Hautfarbe
🧑‍🎓;Student(in);Absolvent(in)|Doktorhut|Student(in)|Uni
	🧑🏻‍🎓;Student(in): helle Hautfarbe;Absolvent(in)|Doktorhut|helle Hautfarbe|Student(in)|Student(in): helle Hautfarbe|Uni
	🧑🏼‍🎓;Student(in): mittelhelle Hautfarbe;Absolvent(in)|Doktorhut|mittelhelle Hautfarbe|Student(in)|Student(in): mittelhelle Hautfarbe|Uni
	🧑🏽‍🎓;Student(in): mittlere Hautfarbe;Absolvent(in)|Doktorhut|mittlere Hautfarbe|Student(in)|Student(in): mittlere Hautfarbe|Uni
	🧑🏾‍🎓;Student(in): mitteldunkle Hautfarbe;Absolvent(in)|Doktorhut|mitteldunkle Hautfarbe|Student(in)|Student(in): mitteldunkle Hautfarbe|Uni
	🧑🏿‍🎓;Student(in): dunkle Hautfarbe;Absolvent(in)|Doktorhut|dunkle Hautfarbe|Student(in)|Student(in): dunkle Hautfarbe|Uni
👨‍🎓;Student;Absolvent|Doktorhut|Student|Uni
	👨🏻‍🎓;Student: helle Hautfarbe;Absolvent|Doktorhut|helle Hautfarbe|Student|Student: helle Hautfarbe|Uni
	👨🏼‍🎓;Student: mittelhelle Hautfarbe;Absolvent|Doktorhut|mittelhelle Hautfarbe|Student|Student: mittelhelle Hautfarbe|Uni
	👨🏽‍🎓;Student: mittlere Hautfarbe;Absolvent|Doktorhut|mittlere Hautfarbe|Student|Student: mittlere Hautfarbe|Uni
	👨🏾‍🎓;Student: mitteldunkle Hautfarbe;Absolvent|Doktorhut|mitteldunkle Hautfarbe|Student|Student: mitteldunkle Hautfarbe|Uni
	👨🏿‍🎓;Student: dunkle Hautfarbe;Absolvent|Doktorhut|dunkle Hautfarbe|Student|Student: dunkle Hautfarbe|Uni
👩‍🎓;Studentin;Absolventin|Doktorhut|Studentin|Uni
	👩🏻‍🎓;Studentin: helle Hautfarbe;Absolventin|Doktorhut|helle Hautfarbe|Studentin|Studentin: helle Hautfarbe|Uni
	👩🏼‍🎓;Studentin: mittelhelle Hautfarbe;Absolventin|Doktorhut|mittelhelle Hautfarbe|Studentin|Studentin: mittelhelle Hautfarbe|Uni
	👩🏽‍🎓;Studentin: mittlere Hautfarbe;Absolventin|Doktorhut|mittlere Hautfarbe|Studentin|Studentin: mittlere Hautfarbe|Uni
	👩🏾‍🎓;Studentin: mitteldunkle Hautfarbe;Absolventin|Doktorhut|mitteldunkle Hautfarbe|Studentin|Studentin: mitteldunkle Hautfarbe|Uni
	👩🏿‍🎓;Studentin: dunkle Hautfarbe;Absolventin|Doktorhut|dunkle Hautfarbe|Studentin|Studentin: dunkle Hautfarbe|Uni
🧑‍🏫;Lehrer(in);Dozent(in)|Lehrer(in)|Professor(in)
	🧑🏻‍🏫;Lehrer(in): helle Hautfarbe;Dozent(in)|helle Hautfarbe|Lehrer(in)|Lehrer(in): helle Hautfarbe|Professor(in)
	🧑🏼‍🏫;Lehrer(in): mittelhelle Hautfarbe;Dozent(in)|Lehrer(in)|Lehrer(in): mittelhelle Hautfarbe|mittelhelle Hautfarbe|Professor(in)
	🧑🏽‍🏫;Lehrer(in): mittlere Hautfarbe;Dozent(in)|Lehrer(in)|Lehrer(in): mittlere Hautfarbe|mittlere Hautfarbe|Professor(in)
	🧑🏾‍🏫;Lehrer(in): mitteldunkle Hautfarbe;Dozent(in)|Lehrer(in)|Lehrer(in): mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|Professor(in)
	🧑🏿‍🏫;Lehrer(in): dunkle Hautfarbe;Dozent(in)|dunkle Hautfarbe|Lehrer(in)|Lehrer(in): dunkle Hautfarbe|Professor(in)
👨‍🏫;Lehrer;Dozent|Lehrer|Professor
	👨🏻‍🏫;Lehrer: helle Hautfarbe;Dozent|helle Hautfarbe|Lehrer|Lehrer: helle Hautfarbe|Professor
	👨🏼‍🏫;Lehrer: mittelhelle Hautfarbe;Dozent|Lehrer|Lehrer: mittelhelle Hautfarbe|mittelhelle Hautfarbe|Professor
	👨🏽‍🏫;Lehrer: mittlere Hautfarbe;Dozent|Lehrer|Lehrer: mittlere Hautfarbe|mittlere Hautfarbe|Professor
	👨🏾‍🏫;Lehrer: mitteldunkle Hautfarbe;Dozent|Lehrer|Lehrer: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|Professor
	👨🏿‍🏫;Lehrer: dunkle Hautfarbe;Dozent|dunkle Hautfarbe|Lehrer|Lehrer: dunkle Hautfarbe|Professor
👩‍🏫;Lehrerin;Dozentin|Lehrerin|Professorin
	👩🏻‍🏫;Lehrerin: helle Hautfarbe;Dozentin|helle Hautfarbe|Lehrerin|Lehrerin: helle Hautfarbe|Professorin
	👩🏼‍🏫;Lehrerin: mittelhelle Hautfarbe;Dozentin|Lehrerin|Lehrerin: mittelhelle Hautfarbe|mittelhelle Hautfarbe|Professorin
	👩🏽‍🏫;Lehrerin: mittlere Hautfarbe;Dozentin|Lehrerin|Lehrerin: mittlere Hautfarbe|mittlere Hautfarbe|Professorin
	👩🏾‍🏫;Lehrerin: mitteldunkle Hautfarbe;Dozentin|Lehrerin|Lehrerin: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|Professorin
	👩🏿‍🏫;Lehrerin: dunkle Hautfarbe;Dozentin|dunkle Hautfarbe|Lehrerin|Lehrerin: dunkle Hautfarbe|Professorin
🧑‍⚖️;Richter(in);Richter(in)|Waage
	🧑🏻‍⚖️;Richter(in): helle Hautfarbe;helle Hautfarbe|Richter(in)|Richter(in): helle Hautfarbe|Waage
	🧑🏼‍⚖️;Richter(in): mittelhelle Hautfarbe;mittelhelle Hautfarbe|Richter(in)|Richter(in): mittelhelle Hautfarbe|Waage
	🧑🏽‍⚖️;Richter(in): mittlere Hautfarbe;mittlere Hautfarbe|Richter(in)|Richter(in): mittlere Hautfarbe|Waage
	🧑🏾‍⚖️;Richter(in): mitteldunkle Hautfarbe;mitteldunkle Hautfarbe|Richter(in)|Richter(in): mitteldunkle Hautfarbe|Waage
	🧑🏿‍⚖️;Richter(in): dunkle Hautfarbe;dunkle Hautfarbe|Richter(in)|Richter(in): dunkle Hautfarbe|Waage
👨‍⚖️;Richter;Gerechtigkeit|Recht|Richter
	👨🏻‍⚖️;Richter: helle Hautfarbe;Gerechtigkeit|helle Hautfarbe|Recht|Richter|Richter: helle Hautfarbe
	👨🏼‍⚖️;Richter: mittelhelle Hautfarbe;Gerechtigkeit|mittelhelle Hautfarbe|Recht|Richter|Richter: mittelhelle Hautfarbe
	👨🏽‍⚖️;Richter: mittlere Hautfarbe;Gerechtigkeit|mittlere Hautfarbe|Recht|Richter|Richter: mittlere Hautfarbe
	👨🏾‍⚖️;Richter: mitteldunkle Hautfarbe;Gerechtigkeit|mitteldunkle Hautfarbe|Recht|Richter|Richter: mitteldunkle Hautfarbe
	👨🏿‍⚖️;Richter: dunkle Hautfarbe;dunkle Hautfarbe|Gerechtigkeit|Recht|Richter|Richter: dunkle Hautfarbe
👩‍⚖️;Richterin;Gerechtigkeit|Recht|Richterin
	👩🏻‍⚖️;Richterin: helle Hautfarbe;Gerechtigkeit|helle Hautfarbe|Recht|Richterin|Richterin: helle Hautfarbe
	👩🏼‍⚖️;Richterin: mittelhelle Hautfarbe;Gerechtigkeit|mittelhelle Hautfarbe|Recht|Richterin|Richterin: mittelhelle Hautfarbe
	👩🏽‍⚖️;Richterin: mittlere Hautfarbe;Gerechtigkeit|mittlere Hautfarbe|Recht|Richterin|Richterin: mittlere Hautfarbe
	👩🏾‍⚖️;Richterin: mitteldunkle Hautfarbe;Gerechtigkeit|mitteldunkle Hautfarbe|Recht|Richterin|Richterin: mitteldunkle Hautfarbe
	👩🏿‍⚖️;Richterin: dunkle Hautfarbe;dunkle Hautfarbe|Gerechtigkeit|Recht|Richterin|Richterin: dunkle Hautfarbe
🧑‍🌾;Bauer/Bäuerin;Bauer/Bäuerin|Farmer(in)|Gärtner(in)|Landwirt(in)
	🧑🏻‍🌾;Bauer/Bäuerin: helle Hautfarbe;Bauer/Bäuerin|Bauer/Bäuerin: helle Hautfarbe|Farmer(in)|Gärtner(in)|helle Hautfarbe|Landwirt(in)
	🧑🏼‍🌾;Bauer/Bäuerin: mittelhelle Hautfarbe;Bauer/Bäuerin|Bauer/Bäuerin: mittelhelle Hautfarbe|Farmer(in)|Gärtner(in)|Landwirt(in)|mittelhelle Hautfarbe
	🧑🏽‍🌾;Bauer/Bäuerin: mittlere Hautfarbe;Bauer/Bäuerin|Bauer/Bäuerin: mittlere Hautfarbe|Farmer(in)|Gärtner(in)|Landwirt(in)|mittlere Hautfarbe
